日期,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,标准差,时均值,最高温度,最低温度,平均温度,雨水类型,日类型
7月1日,66.89,64.84,65.43,65.75,66.24,61.45,60.25,68.27,129.52,142.72,164.33,161.68,180.72,172.66,164.34,133.52,133.16,129.21,114.61,113.85,86.56,66.46,67.91,64.59,42.17161763,106.04,32.2,26.8,28.9,1,1
7月2日,64.71,65.02,64.62,63.72,67.41,60.08,62.68,66.27,130.6,140.69,180.78,89.9,82.91,150.23,153.32,98.33,100.09,108.41,92.02,103.33,84.88,58.19,64,67.03,34.30686001,92.4675,30.3,26.4,28.9,1,1
7月3日,61.53,64.79,61.06,60.89,59.74,62.9,61.91,89.97,241.61,286.65,291.66,268.16,216.59,271.78,201.36,217.14,248.61,202.6,123.43,118.84,95.23,71.48,67.04,68.78,87.09246613,146.40625,28.9,24.7,26.9,1,0
7月4日,59.83,61.84,61.86,60.58,59.81,62.44,63.72,83.21,241.35,278.66,265.27,239.74,211.81,215.78,210.34,212.7,235.84,199.61,120.24,128.8,105.98,75.54,70.58,72.31,79.21992335,141.5766667,29.7,24.3,26.7,1,0
7月5日,64.36,78.35,93.48,42.29,40.81,79.05,71.24,44.65,242.64,312.55,309.92,322.01,275.3,261.11,267.81,255.61,269.56,235.65,147.79,138.21,116.4,87.99,90.99,75.54,99.20231862,163.47125,31.4,25.7,28,1,0
7月6日,66.54,68.33,69.08,68.51,70.47,70.04,75.92,111.43,227.48,289.56,250.15,237.26,197.35,202.59,215.11,232.42,231.19,183.22,118.82,114.23,94.99,74.08,71.11,69.19,75.18169403,142.0445833,29.3,25.8,27.7,1,0
7月7日,66.91,66.14,65.55,70.2,58.09,63.66,72.26,83.59,206.77,242.73,246.42,254.96,219.49,200.75,240.77,269.7,233.04,261.37,96.35,91.93,75.31,55.72,72.52,63.79,83.49096852,140.7508333,30,25.8,26.9,1,0
7月8日,71.38,59.99,61.33,63.89,67.82,65.18,59.88,74.02,135.14,141.53,108.55,95.48,107.96,135.15,152.84,106.2,121.2,106.75,107.25,97.18,83.37,64.32,71.31,75.91,28.35014579,93.06791667,29,26.3,27.6,1,1
7月9日,41.5,61.1,62.17,61.52,64.28,57.98,57.42,61.89,109.16,124.12,142.02,154.36,161.2,165.77,160.51,118.42,105.98,96.97,92.92,100.05,83.1,66.23,61.24,66.97,38.24012509,94.87,32.1,27.4,28.9,0,1
7月10日,57.64,61.56,62.16,62.61,60.78,63.72,58.49,70.01,262.12,290.95,292.5,292,286.58,244.61,265.1,269.4,253.76,245.09,117.71,143.72,99.45,73.82,71.67,64.19,98.20222955,157.0683333,31.7,27.2,28.8,0,0
7月11日,65.4,63.47,62.58,64.18,61.42,64.72,65.24,80.04,245.2,304.65,294.04,316.2,271.52,273.76,271.24,256.77,252.11,229.35,141.36,131.27,110.79,109.76,50.24,54.07,98.20343502,159.9741667,31.3,27.5,29.3,1,0
7月12日,69.09,67.83,70.89,63.08,70.75,66.19,66.85,71.91,255.73,304.16,300.97,303.15,285.48,296.89,284.35,295.42,268.29,248.51,131.56,127.9,110.87,79.66,73.96,73.13,102.1059256,166.1091667,31.5,27.1,29.2,0,0
7月13日,66.28,67.37,66.97,66.19,66.45,68.13,65.95,75.59,262.62,302.49,304.4,292.83,270.16,274.68,290.63,296.15,269.25,251.23,140.53,128.49,114.47,88.87,75.62,79.17,99.94667314,166.0216667,32.1,27.2,29.6,0,0
7月14日,77.73,77.02,73.08,72.87,73.59,70.27,69.12,81.93,270.91,300.55,283.88,299.05,329.69,253.87,256.74,257.06,248.12,204.3,134.3,130.13,111.54,80.42,72.63,65.98,95.32946594,162.2825,31.6,27.3,29.6,1,0
7月15日,68.82,71.09,65.41,70.51,67.1,66.9,59.98,71.46,95.21,188.49,177.84,179.6,170.56,180.26,160.61,166.11,152.06,113.24,102.88,108.62,93.3,73.79,71.22,71.82,46.08154843,110.2866667,32,26.8,29.1,1,1
7月16日,69.43,73.47,69.06,65.73,67.96,64.67,66.81,64.29,134.82,151.91,109.95,103.18,95.62,99.9,116.73,115.33,102.96,94.33,95.84,110.05,79,72.77,70.09,62.13,24.29189199,89.83458333,29.7,25.8,27.6,1,1
7月17日,67.36,64.14,72.17,61.23,64.2,62.31,57.65,74.23,271.43,266.96,259.05,249.6,227.73,212.1,226.23,248.7,260.74,230.53,135.93,116.18,104.78,72.88,66.28,66.26,85.41442311,147.4445833,30,25.2,26.9,1,0
7月18日,65.11,65.43,66.38,65.02,63.66,64.91,75.12,82.34,236.34,231.57,218.59,219.15,205.9,197.52,213.42,216.88,214.12,185.32,123.21,113.79,104.13,79.18,64.18,62.4,69.18549793,134.73625,27,24.1,25.6,1,0
7月19日,64.13,62.76,66.13,61.97,63.68,66.37,64.92,78.08,194.95,222.26,210.44,206.5,190.32,188.67,196.59,197.39,207.53,195.29,118.06,120.74,102.22,54.06,70.69,64.77,64.14765591,127.855,28,24.8,26,1,0
7月20日,70.68,66.56,64.15,64.33,66.4,65.71,66.87,66.03,209.16,228.96,242.97,240.12,237.06,245.87,234.63,222.13,221.11,192.4,114.83,109.86,101.38,75.05,72.62,67.66,76.22024687,139.4391667,30.9,25.8,28.2,0,0
7月21日,68.97,69.71,63.36,66.94,66.74,65.61,65.42,76.04,226.64,273.3,258.91,308.14,263.02,258.34,250.15,247.6,246.29,230.32,133.62,139.8,133.82,89.53,74.16,72.25,88.2699839,156.195,31.7,27.1,28.8,0,0
7月22日,66.23,71.11,71.01,62.95,63.43,69.46,60.32,71.73,148.96,133.73,154.44,224.69,148.92,172.57,164.07,176.24,117.83,83.7,92.73,94.62,93.02,76.45,65.62,73.32,45.91142659,106.5479167,32.2,27.4,29,0,1
7月23日,62.7,67.48,70.58,65.67,66.71,62.02,63.68,73.03,131.11,128.31,92.58,114.31,102.94,136.89,122.06,99.36,112.7,87.26,80.28,94.11,80.2,65.44,66.12,62.61,24.41506852,87.83958333,28.6,25.8,27.3,1,1
7月24日,65.32,55.44,68.2,57.08,60.25,59.7,46.35,68.89,314.01,290.32,269.7,236.9,226.16,251.98,257.88,256.74,244.86,221.96,93.7,137.05,107.87,76.29,73.9,68.1,93.51633037,150.3604167,29.9,25.4,27.5,1,0
7月25日,67.66,77.44,66.23,69.87,52.28,67.07,66.76,78.98,274.49,298.71,290.21,294.78,273.94,277.42,283.06,277.85,257.89,237.57,111.91,132.07,99.78,74.87,75.11,76.08,98.90411852,161.75125,31.4,26.9,28.9,0,0
7月26日,69.48,68.79,66.25,70.08,63.72,67.54,66,74.05,267.18,294.17,272.25,295.66,277.11,268.27,267.44,266.66,255.96,220.84,124.54,133.3,115.02,67.67,72.88,71.82,95.09878529,159.0283333,32.9,27.1,29.2,0,0
7月27日,68.61,73.88,63.63,66.94,65.61,68.71,60.12,72.83,279.43,309.87,252.67,288.12,238.71,297.66,293.15,267.78,274.09,303.81,89.16,93.01,86.67,75.41,76.16,60.45,103.5656758,159.4366667,33,27.4,29.6,1,0
7月28日,69.67,68.58,66.9,64.39,61.76,66.62,61.78,68.82,272.12,306.63,288.35,282.37,257.78,249.85,256.86,256.4,202.15,254.24,101.24,108.37,108.16,75.22,71.21,71.2,94.42308166,153.7779167,34.8,27.6,30.6,0,0
7月29日,66.31,69.22,64.71,65.16,65.9,65.05,59.97,62.66,149.36,171.14,180.52,150.03,197.68,169.06,182.77,160.48,146.11,157.52,106.67,124.18,107.73,85.76,79.95,81.97,46.8053766,115.4129167,34.8,28.1,30.3,0,1
7月30日,84.77,77.66,74.93,74.28,77.99,75.27,71.67,79.64,159.37,189.3,142.16,159.94,182.75,207.56,187.29,157.45,139.4,143.58,92.64,100.65,99.15,77.94,81.2,75.63,44.90784619,117.1758333,37.1,29.9,32.7,0,1
7月31日,81.57,76.04,75.06,73.74,65.83,70.96,70.64,61.73,346.33,357.02,339.02,346.2,319.22,315.79,336.12,346.84,347.48,282.07,140.87,143.25,118.59,82.05,78.67,75.35,124.0522574,189.6016667,34.8,29.4,31.2,0,0
